var_name_raw,var_name_clean,label,class
A1PA15,a1pa15,How much worry about your heart,"haven_labelled,vctrs_vctr,double"
A1PA80,a1pa80,"Worry more, less, about same as others","haven_labelled,vctrs_vctr,double"
A1PA80A,a1pa80a,"Worry a lot, somewhat, little more","haven_labelled,vctrs_vctr,double"
A1PA81,a1pa81,Frequency of worrying (12 months),"haven_labelled,vctrs_vctr,double"
A1PA81A,a1pa81a,How long worry lasts on days you worry,"haven_labelled,vctrs_vctr,double"
A1PA82,a1pa82,Worry about one thing or more than one,"haven_labelled,vctrs_vctr,double"
A1PA83,a1pa83,Worry about things not likely to happen,"haven_labelled,vctrs_vctr,double"
A1PA83A,a1pa83a,Worry about things that are not serious,"haven_labelled,vctrs_vctr,double"
A1PA84,a1pa84,How often can't put worry out of mind,"haven_labelled,vctrs_vctr,double"
A1PA84A,a1pa84a,How often difficult to control worry,"haven_labelled,vctrs_vctr,double"
A1PA85A,a1pa85a,Restless because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85B,a1pa85b,Keyed up/on edge/nervous energy (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85C,a1pa85c,Irritable because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85D,a1pa85d,Trouble falling asleep because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85E,a1pa85e,Trouble staying asleep because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85F,a1pa85f,Trouble concentrating because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85G,a1pa85g,Trouble remembering because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85H,a1pa85h,Low on energy because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85I,a1pa85i,Tire easily because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA85J,a1pa85j,Sore/aching muscles because of worry (12 months),"haven_labelled,vctrs_vctr,double"
A1PA86,a1pa86,How much worry interferes with your life,"haven_labelled,vctrs_vctr,double"
R_ABSCRE,r_abscre,Respondent current - abstract and creative,"haven_labelled,vctrs_vctr,double"
L_ABSCRE,l_abscre,Respondent last - abstract and creative,"haven_labelled,vctrs_vctr,double"
S_ABSCRE,s_abscre,Spouse/partner - abstract and creative,"haven_labelled,vctrs_vctr,double"
D_ABSCRE,d_abscre,Father/Male head of household - abstract and creative,"haven_labelled,vctrs_vctr,double"
M_ABSCRE,m_abscre,Mother/Female head of household - abstract and creative,"haven_labelled,vctrs_vctr,double"
A1PD4,a1pd4,Outgoing describes you,"haven_labelled,vctrs_vctr,double"
A1PD5,a1pd5,Worrying describes you,"haven_labelled,vctrs_vctr,double"
A1PD6,a1pd6,Curious describes you,"haven_labelled,vctrs_vctr,double"
A1SA13B,a1sa13b,Felt nervous frequency (30 days),"haven_labelled,vctrs_vctr,double"
A1SA15D,a1sa15d,Felt calm and peaceful frequency (30 days),"haven_labelled,vctrs_vctr,double"
A1SB8A,a1sb8a,Worry about infertility as get older,"haven_labelled,vctrs_vctr,double"
A1SB8B,a1sb8b,Worry about less attractive as get older,"haven_labelled,vctrs_vctr,double"
A1SB8C,a1sb8c,Worry about illness as get older,"haven_labelled,vctrs_vctr,double"
A1SE14M,a1se14m,Mother - Sociable and friendly,"haven_labelled,vctrs_vctr,double"
A1SE16M,a1se16m,Father - Sociable and friendly,"haven_labelled,vctrs_vctr,double"
A1SF1P,a1sf1p,No experience warm and trusting relationships,"haven_labelled,vctrs_vctr,double"
A1SF3T,a1sf3t,Helpful to set goals for near future,"haven_labelled,vctrs_vctr,double"
A1SF3U,a1sf3u,Too many things today to worry about tomorrow,"haven_labelled,vctrs_vctr,double"
A1SF4A,a1sf4a,Outgoing describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4B,a1sf4b,Helpful describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4C,a1sf4c,Moody describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4D,a1sf4d,Organized describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4F,a1sf4f,Friendly describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4G,a1sf4g,Warm describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4H,a1sf4h,Worrying describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4I,a1sf4i,Responsible describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4K,a1sf4k,Lively describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4L,a1sf4l,Caring describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4M,a1sf4m,Nervous describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4N,a1sf4n,Creative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4P,a1sf4p,Hardworking describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4Q,a1sf4q,Imaginative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4R,a1sf4r,Softhearted describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4S,a1sf4s,Calm describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4U,a1sf4u,Intelligent describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4V,a1sf4v,Curious describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4W,a1sf4w,Active describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4X,a1sf4x,Careless describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4Z,a1sf4z,Sympathetic describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4AA,a1sf4aa,Talkative describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4BB,a1sf4bb,Sophisticated describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF4CC,a1sf4cc,Adventurous describes you how well,"haven_labelled,vctrs_vctr,double"
A1SF5A,a1sf5a,How calm now,"haven_labelled,vctrs_vctr,double"
A1SF5B,a1sf5b,How calm 10 years ago,"haven_labelled,vctrs_vctr,double"
A1SF5C,a1sf5c,How calm 10 years ahead,"haven_labelled,vctrs_vctr,double"
A1SF5J,a1sf5j,How caring now,"haven_labelled,vctrs_vctr,double"
A1SF5K,a1sf5k,How caring 10 years ago,"haven_labelled,vctrs_vctr,double"
A1SF5L,a1sf5l,How caring 10 years ahead,"haven_labelled,vctrs_vctr,double"
A1SG1A,a1sg1a,Calm in late 20s,"haven_labelled,vctrs_vctr,double"
A1SG1B,a1sg1b,Calm in late 40s,"haven_labelled,vctrs_vctr,double"
A1SG1C,a1sg1c,Calm in late 60s,"haven_labelled,vctrs_vctr,double"
A1SG1J,a1sg1j,Caring in late 20s,"haven_labelled,vctrs_vctr,double"
A1SG1K,a1sg1k,Caring in late 40s,"haven_labelled,vctrs_vctr,double"
A1SG1L,a1sg1l,Caring in late 60s,"haven_labelled,vctrs_vctr,double"
